month,Month,Date,Rn =Rns-Rnl,,Rns=(1-a)Rs,,a,Rs,Rnl,Rso,?,Tmax,Tmin,Etmin,Etmax,Rhmax,Rhmin,Ea,Es,(?DELTA)constant,?,U2,Ra,TD,Gsc,dr,Ws,solar decimation(?),radian(?),J,DEGREE,z(in metre),P,(?)constantN,Tmax,Tmin,Ta,psychometric(?) ,k,p(daytime hours),,G,alpha(?)
January,1,01/01/2000,2.004794688,,0.964656,,0.23,1.2528,-1.040138688,25.26729657,4.93E-09,33.5,24.5,4.973991993,3.09308133,90,62,3.197151609,4.033536661,0.038060784,0.067381125,32.03673317,33.57780275,8.2,0.082,1.032995116,1.533713036,-0.401008795,0.087222222,1,5,125,99.83112139,2.4332393,32.8,24.6,28.7,0.06687576,0.8,8.5,,0.3895,1.26
February,2,02/01/2000,2.35068612,,0.99792,,0.23,1.296,-1.35276612,26.46784271,4.93E-09,,,5.31926021,3.001874544,70,47,2.567181591,4.160567377,0.037960822,,38.27124153,35.17321291,9.9,0.082,1.028123381,1.543320912,-0.304401922,0.087222222,32,,125,99.83112139,2.43241295,34,24.1,29.05,0.066898479,0.8,7.66,,0.47025,1.26
March,3,03/01/2000,2.131199114,,1.0112256,,0.23,1.31328,-1.119973514,27.85288631,4.93E-09,,,5.289714604,3.28277117,80,59,3.084303337,4.286242887,0.037762074,,33.2568,37.01380241,8.3,0.082,1.016433175,1.558778478,-0.136575794,0.087222222,61,,125,99.83112139,2.43076025,33.9,25.6,29.75,0.066943964,0.8,8.49,,0.39425,1.26
April,4,04/01/2000,2.150511134,,0.9779616,,0.23,1.27008,-1.172549534,28.39626182,4.93E-09,,,5.058431496,3.244042238,77,64,2.985589642,4.151236867,0.037903877,,33.98541,37.73589611,7.7,0.082,0.999600453,1.577666902,0.078409366,0.087222222,92,,125,99.83112139,2.43194075,33.1,25.4,29.25,0.066911469,0.8,8.21,,0.36575,1.26
May,5,05/01/2000,2.05493984,,0.9247392,,0.23,1.20096,-1.13020064,27.75384043,4.93E-09,,,4.835977526,3.148957679,82,69,3.069141185,3.992467602,0.038089418,,28.15206,36.88217997,7.4,0.082,0.983366621,1.594652512,0.266310971,0.087222222,122,,125,99.83112139,2.4334754,32.3,24.9,28.6,0.066869272,0.8,8.5,,0.3515,1.26
June,6,06/01/2000,2.06059003,,0.8914752,,0.23,1.15776,-1.16911483,26.78763174,4.93E-09,,,4.267463105,3.001874544,85,75,2.939374774,3.634668824,0.038522823,,29.17122,35.59818172,6,0.082,0.971185817,1.60645706,0.387148421,0.087222222,153,,125,99.83112139,2.4370169,30.1,24.1,27.1,0.066772097,0.8,8.22,,0.285,1.26
July,7,07/01/2000,2.151016306,,0.898128,,0.23,1.1664,-1.252888306,26.57056533,4.93E-09,,,3.95961263,2.843602903,85,73,2.720750427,3.401607766,0.038845372,,40.97202,35.30972137,5.6,0.082,0.967000811,1.607962172,0.401808206,0.087222222,183,,125,99.83112139,2.439614,28.8,23.2,26,0.066701014,0.8,8.5,,0.266,1.26
August,8,08/01/2022,2.179870728,,0.9446976,,0.23,1.22688,-1.235173128,27.22841484,4.93E-09,,,3.914009299,2.809437622,86,75,2.736563107,3.361723461,0.038904453,,44.06526,36.18393998,5.6,0.082,0.971414163,1.598981727,0.311771746,0.087222222,213,,125,99.83112139,2.4400862,28.6,23,25.8,0.066688106,0.8,8.49,,0.266,1.26
September,9,09/01/2000,2.165381806,,0.9912672,,0.23,1.28736,-1.174114606,28.00770885,4.93E-09,,,4.291983042,2.930607375,87,70,2.892725205,3.611295209,0.03856657,,46.67574,37.21954664,6.5,0.082,0.98426456,1.581979916,0.127201005,0.087222222,245,,125,99.83112139,2.43737105,30.2,23.7,26.95,0.066762395,0.8,8.21,,0.30875,1.26
October,10,10/01/2000,2.185108723,,0.99792,,0.23,1.296,-1.187188723,27.80141414,4.93E-09,,,4.808777365,2.983917477,82,62,2.896613138,3.896347421,0.03823307,,39.24213,36.94540085,8.2,0.082,1.000630851,1.56367828,-0.081221362,0.087222222,275,,125,99.83112139,2.4346559,32.2,24,28.1,0.066836849,0.8,8.5,,0.3895,1.26
November,11,11/01/2000,2.154529181,,0.9713088,,0.23,1.26144,-1.183220381,26.55400275,4.93E-09,,,4.973991993,3.09308133,78,63,2.914177496,4.033536661,0.038060784,,27.4011,35.28771129,8.2,0.082,1.017318613,1.54623968,-0.273749111,0.087222222,306,,125,99.83112139,2.4332393,32.8,24.6,28.7,0.06687576,0.8,8.22,,0.3895,1.26
December,12,12/01/2000,2.088131408,,0.9513504,,0.23,1.23552,-1.136781008,25.3585129,4.93E-09,,,4.808777365,3.074649051,82,66,2.986232907,3.941713208,0.038161142,,27.00327,33.69902047,7.7,0.082,1.028926234,1.535042177,-0.388063518,0.087222222,336,,125,99.83112139,2.43406565,32.2,24.5,28.35,0.066853056,0.8,8.5,,0.36575,1.26
