Date,Rn =Rns-Rnl,,Rns=(1-a)Rs,,a,Rs,Rnl,Rso,?,Tmax,Tmin,Etmin,Etmax,Rhmax,Rhmin,Ea,Es,(?)constant,?,U2,Ra,TD,Gsc,dr,Ws,solar decimation(?),radian(?),J,DEGREE,z(in metre),P,(?)constantN,Tmax,Tmin,Ta,psychometric(?) ,k,p(daytime hours),,G,Uz,Month
01/01/2000,2.004257473,,0.964656,,0.23,1.2528,-1.039601473,25.21222897,4.93E-09,33.5,24.50,4.973991993,3.09308133,90,62,3.197151609,4.033536661,0.038060784,0.067381125,44.79283007,33.57780275,8.2,0.082,1.032995116,1.533713036,-0.401008795,0.087222222,1,5,43,100.7927443,2.4332393,32.8,24.6,28.7,0.027546479,0.8,8.5,,400,73.36,January
02/01/2000,2.349998155,,0.99792,,0.23,1.296,-1.352078155,26.41015865,4.93E-09,,,5.31926021,3.001874544,70,47,2.567181591,4.160567377,0.037960822,,38.02750078,35.17321291,9.9,0.082,1.028123381,1.543320912,-0.304401922,0.087222222,32,,43,100.7927443,2.43241295,34,24.1,29.05,0.027555837,0.8,7.66,,400,62.28,February
03/01/2000,2.130655336,,1.0112256,,0.23,1.31328,-1.119429736,27.79218368,4.93E-09,,,5.289714604,3.28277117,80,59,3.084303337,4.286242887,0.037762074,,45.42784293,37.01380241,8.3,0.082,1.016433175,1.558778478,-0.136575794,0.087222222,61,,43,100.7927443,2.43076025,33.9,25.6,29.75,0.027574573,0.8,8.49,,400,74.4,March
04/01/2000,2.149977192,,0.9779616,,0.23,1.27008,-1.172015592,28.33437495,4.93E-09,,,5.058431496,3.244042238,77,64,2.985589642,4.151236867,0.037903877,,46.42310347,37.73589611,7.7,0.082,0.999600453,1.577666902,0.078409366,0.087222222,92,,43,100.7927443,2.43194075,33.1,25.4,29.25,0.027561187,0.8,8.21,,400,76.03,April
05/01/2000,2.054445282,,0.9247392,,0.23,1.20096,-1.129706082,27.69335365,4.93E-09,,,4.835977526,3.148957679,82,69,3.069141185,3.992467602,0.038089418,,38.45491328,36.88217997,7.4,0.082,0.983366621,1.594652512,0.266310971,0.087222222,122,,43,100.7927443,2.4334754,32.3,24.9,28.6,0.027543806,0.8,8.5,,400,62.98,May
06/01/2000,2.06007918,,0.8914752,,0.23,1.15776,-1.16860398,26.72925072,4.93E-09,,,4.267463105,3.001874544,85,75,2.939374774,3.634668824,0.038522823,,39.84705685,35.59818172,6,0.082,0.971185817,1.60645706,0.387148421,0.087222222,153,,43,100.7927443,2.4370169,30.1,24.1,27.1,0.027503779,0.8,8.22,,400,65.26,June
07/01/2000,2.150458508,,0.898128,,0.23,1.1664,-1.252330508,26.51265739,4.93E-09,,,3.95961263,2.843602903,85,73,2.720750427,3.401607766,0.038845372,,55.96661402,35.30972137,5.6,0.082,0.967000811,1.607962172,0.401808206,0.087222222,183,,43,100.7927443,2.439614,28.8,23.2,26,0.0274745,0.8,8.5,,400,91.66,July
08/01/2022,2.179303219,,0.9446976,,0.23,1.22688,-1.234605619,27.16907317,4.93E-09,,,3.914009299,2.809437622,86,75,2.736563107,3.361723461,0.038904453,,60.19189188,36.18393998,5.6,0.082,0.971414163,1.598981727,0.311771746,0.087222222,213,,43,100.7927443,2.4400862,28.6,23,25.8,0.027469183,0.8,8.49,,400,98.58,August
09/01/2000,2.164829172,,0.9912672,,0.23,1.28736,-1.173561972,27.94666879,4.93E-09,,,4.291983042,2.930607375,87,70,2.892725205,3.611295209,0.03856657,,63.75773332,37.21954664,6.5,0.082,0.98426456,1.581979916,0.127201005,0.087222222,245,,43,100.7927443,2.43737105,30.2,23.7,26.95,0.027499783,0.8,8.21,,400,104.42,September
10/01/2000,2.184540273,,0.99792,,0.23,1.296,-1.186620273,27.74082368,4.93E-09,,,4.808777365,2.983917477,82,62,2.896613138,3.896347421,0.03823307,,53.60363348,36.94540085,8.2,0.082,1.000630851,1.56367828,-0.081221362,0.087222222,275,,43,100.7927443,2.4346559,32.2,24,28.1,0.027530451,0.8,8.5,,400,87.79,October
11/01/2000,2.153949413,,0.9713088,,0.23,1.26144,-1.182640613,26.4961309,4.93E-09,,,4.973991993,3.09308133,78,63,2.914177496,4.033536661,0.038060784,,37.42912328,35.28771129,8.2,0.082,1.017318613,1.54623968,-0.273749111,0.087222222,306,,43,100.7927443,2.4332393,32.8,24.6,28.7,0.027546479,0.8,8.22,,400,61.3,November
12/01/2000,2.087556817,,0.9513504,,0.23,1.23552,-1.136206417,25.30324651,4.93E-09,,,4.808777365,3.074649051,82,66,2.986232907,3.941713208,0.038161142,,36.88569881,33.69902047,7.7,0.082,1.028926234,1.535042177,-0.388063518,0.087222222,336,,43,100.7927443,2.43406565,32.2,24.5,28.35,0.027537127,0.8,8.5,,400,60.41,December
